logical clock: 319 | internal event | global time: 16:02:44.421573
logical clock: 320 | received | global time: 16:02:44.593275 | queue length: 0
logical clock: 321 | internal event | global time: 16:02:44.767912
logical clock: 322 | internal event | global time: 16:02:44.951899
logical clock: 323 | internal event | global time: 16:02:45.123951
logical clock: 324 | internal event | global time: 16:02:45.294255
logical clock: 325 | internal event | global time: 16:02:45.465429
logical clock: 326 | received | global time: 16:02:45.635931 | queue length: 0
logical clock: 327 | internal event | global time: 16:02:45.809231
logical clock: 328 | internal event | global time: 16:02:45.993046
logical clock: 329 | internal event | global time: 16:02:46.164760
logical clock: 330 | internal event | global time: 16:02:46.337579
